,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
17,6250.0,6250.0, 36 ,0.1531,217.6,4.0,4 years,RENT,19200.0,Not Verified,2009.0,educational,NY,15.13,1.0,0.0,9.0,0.0,4815.0,0.9440000000000001,12.0,1.0
18,7750.0,7750.0, 36 ,0.1521,269.46,4.0,4 years,MORTGAGE,40000.0,Verified,2010.0,debt_consolidation,RI,8.19,0.0,0.0,5.0,0.0,15840.0,0.9840000000000001,12.0,0.0
19,20000.0,20000.0, 60 ,0.1565,482.65,4.0,10+ years,RENT,78000.0,Verified,2011.0,credit_card,NY,23.4,1.0,0.0,10.0,0.0,18234.0,0.7709999999999999,39.0,1.0
20,8000.0,8000.0, 36 ,0.1242,267.33,2.0,10+ years,OWN,102000.0,Verified,2011.0,debt_consolidation,NY,15.39,1.0,0.0,21.0,0.0,24385.0,0.485,42.0,1.0
21,10000.0,10000.0, 36 ,0.0932,319.47,1.0,< 1 year,RENT,35364.0,Not Verified,2009.0,debt_consolidation,MD,19.88,0.0,0.0,9.0,0.0,12255.0,0.242,21.0,1.0
22,9000.0,9000.0, 36 ,0.0788,281.53,1.0,< 1 year,RENT,55000.0,Verified,2010.0,debt_consolidation,NY,19.68,1.0,0.0,11.0,0.0,4231.0,0.204,21.0,1.0
23,12000.0,12000.0, 60 ,0.16820000000000002,297.08,5.0,1 year,RENT,54000.0,Not Verified,2010.0,debt_consolidation,NY,13.4,0.0,2.0,8.0,0.0,22945.0,0.889,10.0,0.0
24,4000.0,4000.0, 60 ,0.19030000000000002,103.83,5.0,< 1 year,RENT,19200.0,Source Verified,2011.0,debt_consolidation,MO,12.75,0.0,3.0,6.0,0.0,3887.0,0.8270000000000001,7.0,0.0
25,12000.0,12000.0, 60 ,0.1465,283.28,3.0,5 years,MORTGAGE,71500.0,Verified,2011.0,credit_card,MD,21.42,0.0,1.0,9.0,0.0,8995.0,0.418,37.0,1.0
26,35000.0,27475.0, 60 ,0.1349,632.06,3.0,1 year,RENT,85000.0,Verified,2011.0,debt_consolidation,NY,5.32,0.0,0.0,12.0,0.0,57387.0,0.31,21.0,1.0
27,28000.0,28000.0, 60 ,0.17489999999999997,703.28,4.0,4 years,MORTGAGE,80000.0,Verified,2011.0,debt_consolidation,FL,15.57,0.0,1.0,7.0,0.0,18847.0,0.902,36.0,0.0
28,4200.0,4200.0, 36 ,0.0579,127.38,1.0,5 years,RENT,30000.0,Source Verified,2011.0,credit_card,CA,8.24,0.0,1.0,9.0,0.0,5402.0,0.312,23.0,1.0
29,15000.0,15000.0, 60 ,0.1199,333.6,2.0,< 1 year,RENT,65004.0,Not Verified,2011.0,other,NY,11.09,0.0,0.0,6.0,0.0,27300.0,0.693,6.0,1.0
30,4800.0,4800.0, 36 ,0.0579,145.57,1.0,5 years,MORTGAGE,55000.0,Not Verified,2010.0,debt_consolidation,HI,20.57,0.0,1.0,17.0,0.0,7428.0,0.187,34.0,1.0
31,20000.0,20000.0, 36 ,0.11710000000000001,661.52,2.0,7 years,RENT,80700.0,Verified,2011.0,debt_consolidation,CA,13.67,0.0,1.0,7.0,0.0,7211.0,0.736,19.0,1.0
32,5000.0,5000.0, 60 ,0.1268,112.95,3.0,< 1 year,RENT,53000.0,Source Verified,2011.0,moving,NY,12.59,0.0,0.0,13.0,1.0,7686.0,0.615,28.0,1.0
33,12000.0,12000.0, 36 ,0.1316,405.25,3.0,5 years,MORTGAGE,58000.0,Source Verified,2009.0,debt_consolidation,PA,14.07,0.0,0.0,13.0,0.0,14057.0,0.37799999999999995,22.0,1.0
35,18000.0,11625.0, 60 ,0.0962,244.83,2.0,7 years,RENT,70000.0,Not Verified,2010.0,debt_consolidation,NY,19.9,0.0,0.0,8.0,0.0,17883.0,0.6829999999999999,36.0,1.0
36,2800.0,2800.0, 36 ,0.07490000000000001,87.09,1.0,1 year,RENT,40000.0,Not Verified,2011.0,other,NC,10.38,0.0,1.0,6.0,0.0,106.0,0.018000000000000002,9.0,1.0
37,1500.0,1500.0, 36 ,0.1435,51.53,3.0,3 years,RENT,38004.0,Source Verified,2010.0,other,CA,15.31,2.0,2.0,4.0,0.0,56.0,0.009000000000000001,11.0,1.0
38,5000.0,5000.0, 60 ,0.16820000000000002,123.78,5.0,3 years,RENT,31200.0,Verified,2010.0,small_business,FL,8.92,0.0,1.0,3.0,0.0,151.0,0.08900000000000001,5.0,1.0
39,8000.0,8000.0, 36 ,0.11259999999999999,262.91,2.0,2 years,RENT,60000.0,Verified,2009.0,major_purchase,NY,4.46,0.0,2.0,6.0,0.0,4824.0,0.478,20.0,1.0
40,14000.0,14000.0, 36 ,0.1242,467.82,2.0,9 years,RENT,40000.0,Verified,2011.0,debt_consolidation,CA,23.13,0.0,0.0,6.0,0.0,3437.0,0.546,15.0,1.0
41,8000.0,8000.0, 36 ,0.07139999999999999,247.53,1.0,5 years,RENT,57996.0,Not Verified,2010.0,other,MA,7.92,0.0,1.0,12.0,0.0,1994.0,0.09699999999999999,18.0,1.0
42,2800.0,2800.0, 36 ,0.0751,87.12,1.0,3 years,RENT,27000.0,Not Verified,2011.0,other,MD,13.2,0.0,1.0,6.0,0.0,8268.0,0.426,20.0,0.0
43,3000.0,3000.0, 36 ,0.0662,92.12,1.0,2 years,MORTGAGE,80000.0,Not Verified,2011.0,small_business,MO,22.06,0.0,1.0,7.0,0.0,17194.0,0.632,28.0,1.0
44,25000.0,25000.0, 60 ,0.1149,549.69,2.0,3 years,MORTGAGE,45996.0,Source Verified,2011.0,debt_consolidation,MI,2.5,0.0,0.0,12.0,0.0,6966.0,0.205,35.0,1.0
45,21000.0,21000.0, 36 ,0.1025,680.08,2.0,4 years,MORTGAGE,105000.0,Verified,2010.0,credit_card,CA,11.29,0.0,0.0,7.0,1.0,5577.0,0.196,21.0,1.0
46,15000.0,15000.0, 36 ,0.10369999999999999,486.62,2.0,< 1 year,RENT,45000.0,Not Verified,2011.0,credit_card,CO,13.57,0.0,0.0,7.0,0.0,15174.0,0.5720000000000001,15.0,1.0
47,11000.0,11000.0, 36 ,0.09910000000000001,354.48,2.0,5 years,MORTGAGE,74000.0,Not Verified,2011.0,wedding,TX,18.24,0.0,2.0,11.0,0.0,16072.0,0.816,18.0,1.0
48,15000.0,15000.0, 36 ,0.1186,497.22,2.0,4 years,MORTGAGE,80004.0,Source Verified,2010.0,debt_consolidation,IL,5.14,0.0,1.0,7.0,0.0,11562.0,0.932,15.0,1.0
49,5000.0,5000.0, 36 ,0.1253,167.34,3.0,10+ years,OWN,66252.0,Not Verified,2009.0,credit_card,NJ,16.55,0.0,0.0,5.0,0.0,24345.0,0.9359999999999999,11.0,1.0
50,3000.0,3000.0, 36 ,0.1427,102.93,3.0,10+ years,RENT,115154.16,Verified,2011.0,other,CA,16.63,0.0,0.0,13.0,0.0,15668.0,0.795,28.0,1.0
51,1325.0,1325.0, 36 ,0.1349,44.96,3.0,< 1 year,RENT,24000.0,Source Verified,2011.0,moving,LA,3.8,0.0,0.0,3.0,0.0,2158.0,0.11900000000000001,3.0,0.0
53,8000.0,8000.0, 60 ,0.1528,191.5,4.0,6 years,RENT,52000.0,Source Verified,2011.0,debt_consolidation,NJ,18.62,0.0,1.0,10.0,0.0,11672.0,0.35700000000000004,17.0,1.0
54,12000.0,12000.0, 36 ,0.0599,365.01,1.0,10+ years,MORTGAGE,60000.0,Source Verified,2011.0,credit_card,MI,12.26,0.0,3.0,8.0,0.0,14830.0,0.374,18.0,1.0
55,16525.0,16525.0, 36 ,0.1528,575.12,4.0,4 years,RENT,98400.0,Verified,2011.0,debt_consolidation,CA,13.41,0.0,1.0,14.0,0.0,8293.0,0.8290000000000001,43.0,1.0
56,12000.0,12000.0, 36 ,0.12869999999999998,403.6,3.0,10+ years,RENT,32000.0,Not Verified,2009.0,debt_consolidation,MI,21.68,0.0,1.0,3.0,0.0,7370.0,0.857,14.0,0.0
57,6600.0,6600.0, 36 ,0.13470000000000001,223.89,3.0,8 years,OWN,38000.0,Not Verified,2009.0,home_improvement,TX,11.34,0.0,2.0,18.0,0.0,2415.0,0.14300000000000002,24.0,1.0
58,12000.0,12000.0, 36 ,0.11710000000000001,396.92,2.0,4 years,MORTGAGE,36000.0,Source Verified,2011.0,credit_card,AR,19.13,0.0,0.0,6.0,0.0,11360.0,0.8809999999999999,9.0,1.0
59,2500.0,2500.0, 36 ,0.1322,84.51,3.0,< 1 year,MORTGAGE,38000.0,Not Verified,2009.0,debt_consolidation,CA,15.6,0.0,2.0,10.0,0.0,3777.0,0.35,42.0,1.0
60,6400.0,6400.0, 36 ,0.08900000000000001,203.23,1.0,4 years,RENT,32000.0,Not Verified,2011.0,small_business,VA,9.26,0.0,0.0,7.0,0.0,7023.0,0.695,12.0,1.0
61,2400.0,2400.0, 36 ,0.1253,80.32,3.0,6 years,RENT,21996.0,Not Verified,2009.0,other,CA,23.73,0.0,3.0,9.0,0.0,3228.0,0.384,14.0,1.0
62,6000.0,6000.0, 60 ,0.1349,138.03,3.0,10+ years,MORTGAGE,73248.0,Source Verified,2011.0,home_improvement,CA,5.24,0.0,1.0,13.0,1.0,6904.0,0.301,32.0,1.0
63,1000.0,1000.0, 36 ,0.1484,34.59,4.0,5 years,RENT,22296.0,Source Verified,2010.0,moving,PA,3.93,0.0,2.0,4.0,0.0,1969.0,0.895,11.0,1.0
64,18000.0,18000.0, 60 ,0.1891,466.04,6.0,3 years,RENT,51000.0,Verified,2010.0,other,CA,19.72,0.0,0.0,12.0,0.0,21898.0,0.725,17.0,1.0
65,10000.0,10000.0, 36 ,0.1242,334.16,2.0,2 years,RENT,36000.0,Source Verified,2011.0,major_purchase,IL,13.33,0.0,1.0,15.0,0.0,18702.0,0.5479999999999999,28.0,1.0
66,3000.0,3000.0, 36 ,0.1036,97.31,2.0,10+ years,RENT,64800.0,Source Verified,2010.0,other,TX,14.56,0.0,2.0,9.0,1.0,6450.0,0.597,17.0,0.0
67,3600.0,3600.0, 36 ,0.1632,127.14,4.0,2 years,RENT,39996.0,Verified,2010.0,other,NJ,1.89,2.0,0.0,2.0,0.0,600.0,0.75,5.0,1.0
68,12000.0,12000.0, 36 ,0.0788,375.37,1.0,10+ years,MORTGAGE,80000.0,Not Verified,2010.0,debt_consolidation,CA,11.13,0.0,2.0,10.0,0.0,12950.0,0.29,38.0,0.0
69,7125.0,7125.0, 36 ,0.0579,216.08,1.0,2 years,RENT,26124.0,Not Verified,2011.0,debt_consolidation,MI,26.63,0.0,2.0,16.0,0.0,4989.0,0.15,25.0,1.0
70,5000.0,5000.0, 36 ,0.1422,171.43,3.0,7 years,MORTGAGE,52000.0,Source Verified,2010.0,debt_consolidation,CA,1.85,0.0,2.0,3.0,0.0,157.0,0.523,7.0,1.0
71,2000.0,2000.0, 36 ,0.1036,64.88,2.0,9 years,OWN,26000.0,Source Verified,2011.0,vacation,CA,4.66,0.0,1.0,6.0,0.0,1378.0,0.445,27.0,1.0
72,25975.0,25975.0, 60 ,0.1479,615.09,3.0,10+ years,MORTGAGE,72702.24,Verified,2011.0,debt_consolidation,GA,24.94,0.0,2.0,11.0,0.0,53554.0,0.687,22.0,1.0
73,35000.0,35000.0, 60 ,0.1349,805.17,3.0,10+ years,RENT,62000.0,Verified,2011.0,debt_consolidation,CA,18.7,0.0,1.0,8.0,0.0,34511.0,0.49200000000000005,16.0,1.0
74,4000.0,4000.0, 36 ,0.1435,137.4,3.0,< 1 year,RENT,23920.0,Not Verified,2010.0,debt_consolidation,MD,22.32,0.0,1.0,5.0,0.0,10711.0,0.885,6.0,1.0
75,10000.0,10000.0, 36 ,0.11359999999999999,329.1,2.0,10+ years,RENT,70800.0,Not Verified,2010.0,debt_consolidation,CA,20.31,0.0,0.0,11.0,0.0,24672.0,0.638,19.0,1.0
76,25000.0,15150.0, 60 ,0.1298,344.56,3.0,4 years,MORTGAGE,103000.0,Not Verified,2010.0,debt_consolidation,TX,21.72,0.0,0.0,10.0,0.0,60023.0,0.51,30.0,1.0
77,8000.0,8000.0, 36 ,0.1,258.14,2.0,< 1 year,RENT,55000.0,Not Verified,2011.0,wedding,LA,11.13,1.0,1.0,9.0,0.0,1362.0,0.5870000000000001,26.0,1.0
78,14500.0,14500.0, 36 ,0.1065,472.32,2.0,10+ years,MORTGAGE,54000.0,Verified,2011.0,debt_consolidation,FL,19.04,0.0,0.0,4.0,0.0,2086.0,0.24,24.0,1.0
79,6000.0,6000.0, 36 ,0.08,188.02,1.0,1 year,RENT,39000.0,Not Verified,2009.0,debt_consolidation,PA,6.65,0.0,0.0,11.0,0.0,4487.0,0.111,16.0,1.0
80,17000.0,17000.0, 36 ,0.0603,517.41,1.0,7 years,MORTGAGE,48000.0,Source Verified,2011.0,home_improvement,FL,6.72,0.0,0.0,13.0,0.0,16710.0,0.361,36.0,1.0
81,14500.0,14500.0, 36 ,0.1348,491.9,3.0,4 years,MORTGAGE,45000.0,Not Verified,2010.0,credit_card,FL,24.4,0.0,3.0,14.0,0.0,26125.0,0.5920000000000001,21.0,1.0
82,9000.0,9000.0, 36 ,0.1531,313.34,4.0,6 years,RENT,44482.0,Verified,2009.0,debt_consolidation,NY,6.74,0.0,0.0,8.0,0.0,3094.0,0.607,18.0,1.0
83,9600.0,9600.0, 36 ,0.0579,291.14,1.0,4 years,MORTGAGE,125000.32,Not Verified,2011.0,debt_consolidation,VA,11.34,0.0,0.0,10.0,0.0,2267.0,0.067,21.0,1.0
84,9000.0,9000.0, 36 ,0.1311,303.71,3.0,3 years,RENT,57057.0,Not Verified,2010.0,other,DC,6.14,1.0,0.0,10.0,0.0,2474.0,0.20600000000000002,21.0,1.0
85,9200.0,9200.0, 36 ,0.0932,293.91,1.0,10+ years,MORTGAGE,52524.0,Verified,2009.0,home_improvement,AL,19.63,0.0,0.0,6.0,0.0,1492.0,0.168,40.0,1.0
86,8000.0,8000.0, 36 ,0.1649,283.2,4.0,< 1 year,RENT,65004.0,Verified,2011.0,other,HI,17.22,0.0,2.0,5.0,0.0,1910.0,0.36700000000000005,6.0,1.0
87,12000.0,12000.0, 36 ,0.12869999999999998,403.6,3.0,2 years,RENT,50400.0,Not Verified,2009.0,credit_card,FL,16.07,0.0,0.0,9.0,0.0,19137.0,0.425,28.0,1.0
88,20000.0,20000.0, 60 ,0.1361,461.34,3.0,7 years,MORTGAGE,55000.0,Verified,2010.0,debt_consolidation,SC,3.86,1.0,4.0,4.0,0.0,6955.0,0.273,12.0,1.0
89,20000.0,20000.0, 36 ,0.1751,718.15,5.0,3 years,MORTGAGE,80600.0,Source Verified,2011.0,debt_consolidation,MA,13.61,0.0,1.0,6.0,0.0,48286.0,0.985,35.0,1.0
90,30000.0,30000.0, 36 ,0.1349,1017.92,3.0,2 years,MORTGAGE,134000.0,Verified,2011.0,debt_consolidation,SC,18.7,0.0,0.0,10.0,0.0,34045.0,0.82,23.0,1.0
91,8500.0,8500.0, 36 ,0.0579,257.78,1.0,10+ years,MORTGAGE,71000.0,Not Verified,2011.0,credit_card,VA,4.82,0.0,3.0,12.0,0.0,11441.0,0.13699999999999998,37.0,1.0
92,15000.0,15000.0, 36 ,0.1862,546.97,6.0,2 years,RENT,58000.0,Verified,2011.0,debt_consolidation,FL,8.3,0.0,0.0,8.0,0.0,13702.0,0.9259999999999999,8.0,1.0
93,5900.0,5900.0, 36 ,0.1112,193.5,2.0,10+ years,OWN,60000.0,Not Verified,2010.0,other,FL,6.24,0.0,3.0,11.0,0.0,6673.0,0.785,19.0,1.0
94,5000.0,5000.0, 36 ,0.1158,165.07,2.0,10+ years,MORTGAGE,65004.0,Not Verified,2009.0,home_improvement,KS,12.42,1.0,2.0,7.0,0.0,0.0,0.0728,26.0,1.0
95,16000.0,16000.0, 36 ,0.17489999999999997,574.36,4.0,10+ years,MORTGAGE,72000.0,Not Verified,2011.0,debt_consolidation,WI,15.03,0.0,3.0,15.0,1.0,17370.0,0.6920000000000001,24.0,1.0
96,5000.0,5000.0, 60 ,0.0888,103.51,2.0,10+ years,MORTGAGE,87054.72,Source Verified,2010.0,car,CA,23.27,0.0,0.0,6.0,0.0,27353.0,0.855,18.0,1.0
97,3000.0,3000.0, 36 ,0.07490000000000001,93.31,1.0,10+ years,RENT,45000.0,Not Verified,2011.0,other,NY,24.03,0.0,1.0,14.0,0.0,18630.0,0.342,28.0,1.0
98,16000.0,16000.0, 36 ,0.1521,556.3,4.0,< 1 year,OWN,60000.0,Source Verified,2010.0,debt_consolidation,KY,22.06,0.0,2.0,10.0,0.0,10916.0,0.718,19.0,1.0
99,16000.0,16000.0, 60 ,0.1323,365.94,3.0,5 years,MORTGAGE,95000.0,Verified,2010.0,small_business,MI,17.56,0.0,0.0,8.0,0.0,23548.0,0.6509999999999999,28.0,1.0
100,14500.0,14500.0, 36 ,0.1158,478.7,2.0,5 years,RENT,37000.0,Source Verified,2009.0,debt_consolidation,FL,21.7,0.0,0.0,17.0,0.0,20680.0,0.255,32.0,0.0
101,6500.0,6500.0, 60 ,0.0788,131.43,1.0,10+ years,MORTGAGE,118200.0,Not Verified,2010.0,car,OH,8.31,0.0,0.0,10.0,0.0,20604.0,0.27399999999999997,39.0,1.0
102,5000.0,5000.0, 60 ,0.12990000000000002,113.74,3.0,6 years,RENT,48000.0,Not Verified,2011.0,car,IL,8.25,0.0,2.0,3.0,0.0,0.0,0.0,16.0,1.0
103,20000.0,20000.0, 36 ,0.1038,648.92,2.0,1 year,RENT,110000.0,Not Verified,2010.0,major_purchase,NY,1.03,0.0,1.0,10.0,0.0,4345.0,0.114,23.0,1.0
104,35000.0,35000.0, 60 ,0.1427,819.3,3.0,10+ years,RENT,85000.0,Verified,2011.0,debt_consolidation,CA,7.93,0.0,2.0,7.0,0.0,23098.0,0.745,33.0,0.0
105,21000.0,21000.0, 36 ,0.1074,684.94,2.0,10+ years,MORTGAGE,93000.0,Verified,2011.0,credit_card,MD,17.7,0.0,0.0,11.0,0.0,45439.0,0.823,24.0,1.0
106,12000.0,12000.0, 60 ,0.1065,258.82,2.0,2 years,RENT,62000.0,Not Verified,2011.0,debt_consolidation,MD,12.29,0.0,2.0,11.0,0.0,13982.0,0.249,21.0,0.0
107,13000.0,13000.0, 60 ,0.15960000000000002,315.86,3.0,10+ years,MORTGAGE,135800.0,Source Verified,2011.0,credit_card,VA,11.99,0.0,2.0,11.0,0.0,26003.0,0.79,32.0,1.0
109,1800.0,1800.0, 36 ,0.0654,55.21,1.0,1 year,OWN,36000.0,Source Verified,2010.0,medical,NV,4.8,0.0,2.0,10.0,0.0,2609.0,0.24600000000000002,14.0,1.0
110,13000.0,13000.0, 60 ,0.09910000000000001,275.64,2.0,2 years,RENT,26004.0,Source Verified,2011.0,other,CA,1.8,0.0,0.0,6.0,0.0,3839.0,0.214,13.0,1.0
111,16000.0,16000.0, 60 ,0.1527,382.92,3.0,8 years,MORTGAGE,45200.0,Verified,2011.0,debt_consolidation,CA,19.67,0.0,3.0,7.0,0.0,14750.0,0.585,17.0,1.0
112,35000.0,35000.0, 60 ,0.203,933.14,5.0,10+ years,MORTGAGE,100904.0,Verified,2011.0,debt_consolidation,VA,19.88,0.0,1.0,10.0,0.0,8430.0,0.456,25.0,1.0
113,12000.0,12000.0, 36 ,0.16820000000000002,426.74,5.0,7 years,RENT,55555.0,Not Verified,2010.0,debt_consolidation,NY,12.29,0.0,0.0,2.0,0.0,21652.0,0.9840000000000001,4.0,1.0
114,4750.0,4750.0, 36 ,0.08900000000000001,150.83,1.0,2 years,OWN,48000.0,Verified,2011.0,home_improvement,CA,10.07,0.0,1.0,4.0,0.0,34679.0,0.037000000000000005,7.0,1.0
115,3800.0,3800.0, 36 ,0.08900000000000001,120.67,1.0,8 years,MORTGAGE,54000.0,Verified,2011.0,car,FL,15.82,0.0,0.0,10.0,0.0,28154.0,0.899,28.0,1.0
116,20000.0,20000.0, 60 ,0.1602,486.58,4.0,10+ years,MORTGAGE,89200.0,Verified,2011.0,home_improvement,WA,17.37,0.0,2.0,16.0,0.0,4222.0,0.355,33.0,1.0
117,6000.0,6000.0, 36 ,0.1411,205.38,4.0,2 years,MORTGAGE,34000.0,Source Verified,2009.0,other,AL,7.98,2.0,1.0,8.0,0.0,2122.0,0.589,22.0,1.0
118,7000.0,7000.0, 36 ,0.07139999999999999,216.59,1.0,2 years,MORTGAGE,120000.0,Not Verified,2010.0,major_purchase,FL,12.57,0.0,0.0,8.0,0.0,41013.0,0.732,25.0,1.0
119,15000.0,15000.0, 60 ,0.1298,341.15,3.0,10+ years,MORTGAGE,75360.0,Source Verified,2011.0,credit_card,MI,8.39,0.0,0.0,6.0,0.0,41248.0,0.9590000000000001,14.0,1.0
121,12200.0,12200.0, 36 ,0.1528,424.6,4.0,4 years,MORTGAGE,51600.0,Not Verified,2011.0,debt_consolidation,UT,22.23,0.0,3.0,17.0,0.0,13374.0,0.6459999999999999,30.0,1.0
122,5500.0,5500.0, 36 ,0.07490000000000001,171.06,1.0,8 years,MORTGAGE,57000.0,Not Verified,2011.0,other,GA,17.03,0.0,0.0,8.0,0.0,6155.0,0.855,19.0,1.0
123,16000.0,16000.0, 60 ,0.152,382.33,4.0,5 years,RENT,80000.0,Source Verified,2010.0,debt_consolidation,CA,13.99,0.0,0.0,6.0,0.0,19396.0,0.862,14.0,0.0
124,22000.0,22000.0, 36 ,0.0788,688.19,1.0,3 years,RENT,99996.0,Verified,2010.0,major_purchase,NY,5.0,0.0,1.0,18.0,0.0,7855.0,0.07200000000000001,50.0,1.0
125,5300.0,5300.0, 36 ,0.1991,196.73,5.0,9 years,MORTGAGE,74603.0,Source Verified,2011.0,debt_consolidation,FL,14.7,0.0,1.0,22.0,0.0,28211.0,0.89,30.0,1.0
126,9000.0,9000.0, 36 ,0.1099,294.61,2.0,5 years,RENT,51000.0,Verified,2011.0,debt_consolidation,WA,19.93,0.0,0.0,13.0,0.0,11209.0,0.7190000000000001,19.0,1.0
127,16000.0,16000.0, 36 ,0.15960000000000002,562.2,3.0,10+ years,MORTGAGE,162000.0,Verified,2011.0,debt_consolidation,LA,19.68,0.0,1.0,10.0,0.0,50749.0,0.9540000000000001,21.0,1.0
129,2500.0,2500.0, 36 ,0.0788,78.21,1.0,2 years,MORTGAGE,33996.0,Not Verified,2010.0,home_improvement,NY,14.51,0.0,3.0,11.0,0.0,26016.0,0.45299999999999996,33.0,0.0
130,30000.0,19000.0, 60 ,0.17989999999999998,482.38,5.0,5 years,MORTGAGE,74500.0,Verified,2011.0,debt_consolidation,LA,19.09,0.0,2.0,9.0,0.0,17097.0,0.6920000000000001,32.0,1.0
131,3000.0,3000.0, 36 ,0.0768,93.58,1.0,10+ years,RENT,55000.0,Not Verified,2009.0,medical,CA,0.65,0.0,0.0,6.0,0.0,332.0,0.005,11.0,1.0
132,15000.0,15000.0, 36 ,0.1099,491.01,2.0,5 years,MORTGAGE,39000.0,Source Verified,2011.0,other,MI,7.72,0.0,0.0,8.0,0.0,8555.0,0.37200000000000005,12.0,1.0
133,10000.0,10000.0, 60 ,0.1186,221.74,2.0,2 years,OWN,52000.0,Verified,2010.0,debt_consolidation,FL,17.77,0.0,2.0,7.0,1.0,2833.0,0.423,22.0,0.0
134,3000.0,3000.0, 36 ,0.079,93.88,1.0,3 years,OWN,16000.0,Not Verified,2011.0,debt_consolidation,MA,2.48,0.0,0.0,5.0,0.0,682.0,0.134,6.0,1.0
135,8800.0,8800.0, 60 ,0.09630000000000001,185.38,2.0,4 years,MORTGAGE,60000.0,Source Verified,2011.0,other,CA,3.84,0.0,0.0,7.0,0.0,3130.0,0.16399999999999998,14.0,1.0
136,15000.0,15000.0, 60 ,0.19690000000000002,394.83,5.0,6 years,MORTGAGE,85000.0,Not Verified,2011.0,wedding,IL,16.59,0.0,2.0,15.0,0.0,18742.0,0.677,24.0,1.0
137,13000.0,13000.0, 36 ,0.1099,425.55,2.0,3 years,RENT,75000.0,Verified,2011.0,debt_consolidation,OR,15.65,0.0,1.0,10.0,0.0,5704.0,0.474,15.0,1.0
138,16000.0,16000.0, 60 ,0.1349,368.08,3.0,3 years,RENT,51000.0,Not Verified,2011.0,credit_card,DC,13.65,0.0,1.0,13.0,0.0,15062.0,0.542,44.0,1.0
